journal	abbreviation	impact_factor
Current Trends in Translation Teaching and Learning E	CURR TRENDS TRANSL T	0.2
Current Tropical Medicine Reports	CURR TROP MED REP	2.4
Current Urology	CURR UROL	2
Current Urology Reports	CURR UROL REP	3.2
Current Vascular Pharmacology	CURR VASC PHARMACOL	2.4
Current Womens Health Reviews	CURR WOMENS HEALTH R	0.4
Current Writing-Text and Reception in Southern Africa	CURR WRIT	0.2
Current Zoology	CURR ZOOL	2.1
Currents in Biblical Research	CURR BIBLIC RES	0.4
Currents in Pharmacy Teaching and Learning	CURR PHARM TEACH LEA	1.4
CURRICULUM INQUIRY	CURRICULUM INQ	0.7
Curriculum Journal	CURRIC J	1.9
Curriculum Matters	CURRIC MATTERS	0.1
Curriculum Studies in Health and Physical Education	CURRIC STUD HEALTH P	2.3
Curved and Layered Structures	CURVED LAYER STRUCT	1.6
Custos e Agronegocio On Line	CUST AGRONEGOCIO	0.2
Cutaneous and Ocular Toxicology	CUTAN OCUL TOXICOL	1.6
CUTIS	CUTIS	2.5
CVIR Endovascular	CVIR ENDOVASC	2.1
CyberGeo-European Journal of Geography	CYBERGEO	0.5
Cybernetics and Information Technologies	CYBERN INF TECHNOL	1.7
CYBERNETICS AND SYSTEMS	CYBERNET SYST	3.8
CYBERNETICS AND SYSTEMS ANALYSIS	CYBERN SYST ANAL+	0.7
Cyberpsychology Behavior and Social Networking	CYBERPSYCH BEH SOC N	4
Cyberpsychology-Journal of Psychosocial Research on Cyberspace	CYBERPSYCHOLOGY	2.6
Cybersecurity	CYBERSECURITY	4.1
CYBIUM	CYBIUM	0.6
Cyborg and Bionic Systems	CYBORG BIONIC SYST	20.9
Cyprus Journal of Medical Sciences	CYPRUS J MED SCI	0.4
Cyprus Turkish Journal of Psychiatry and Psychology	CYPRUS TURK J PSYCHI	0.5
CyTA-Journal of Food	CYTA-J FOOD	3
CYTOGENETIC AND GENOME RESEARCH	CYTOGENET GENOME RES	2
CytoJournal	CYTOJOURNAL	2.2
CYTOKINE	CYTOKINE	3.6
CYTOKINE & GROWTH FACTOR REVIEWS	CYTOKINE GROWTH F R	13.4
CYTOLOGIA	CYTOLOGIA	0.5
Cytology and Genetics	CYTOL GENET+	0.7
CYTOMETRY PART A	CYTOM PART A	2.9
CYTOMETRY PART B-CLINICAL CYTOMETRY	CYTOM PART B-CLIN CY	2.9
CYTOPATHOLOGY	CYTOPATHOLOGY	1.2
Cytoskeleton	CYTOSKELETON	1.6
CYTOTECHNOLOGY	CYTOTECHNOLOGY	2.2
CYTOTHERAPY	CYTOTHERAPY	4.5
CZECH JOURNAL OF ANIMAL SCIENCE	CZECH J ANIM SCI	1.6
CZECH JOURNAL OF FOOD SCIENCES	CZECH J FOOD SCI	1.4
Czech Journal of Genetics and Plant Breeding	CZECH J GENET PLANT	2.1
Czech Journal of International Relations	CZECH J INT RELAT	0.8
Czech Polar Reports	CZECH POLAR REP	0.7
CZECHOSLOVAK MATHEMATICAL JOURNAL	CZECH MATH J	0.4
DADOS-REVISTA DE CIENCIAS SOCIAIS	DADOS-REV CIENC SOC	1
DAEDALUS	DAEDALUS-US	1.8
Daimon-Revista Internacional de Filosofia	DAIMON	0.3
Dairy	DAIRY-BASEL	3
DALTON TRANSACTIONS	DALTON T	3.3
DANCE CHRONICLE	DANCE CHRONICLE	0.5
Dance Research	DANCE RES	0.4
DANCE RESEARCH JOURNAL	DANCE RES J	0.5
Danish Medical Journal	DAN MED J	1.1
Dante e l arte	DANTE ARTE	0.1
Dao-A Journal of Comparative Philosophy	DAO	0.7
DARU-Journal of Pharmaceutical Sciences	DARU	2.8
Data	DATA-BASEL	2.4
DATA & KNOWLEDGE ENGINEERING	DATA KNOWL ENG	3.9
Data & Policy	DATA POLICY	2.6
Data and Information Management	DATA INFORM MANAGE	8.3
DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS	DATA BASE ADV INF SY	1.7
Data in Brief	DATA BRIEF	1.9
Data Intelligence	DATA INTELLIGENCE	3.5
DATA MINING AND KNOWLEDGE DISCOVERY	DATA MIN KNOWL DISC	5.5
Data Science and Engineering	DATA SCI ENG	4.1
Data Science in Finance and Economics	DATA SCI FINANC ECON	2.8
Data Technologies and Applications	DATA TECHNOL APPL	1.6
Data-Centric Engineering	DATA-CENTRIC ENG	3.2
Database-The Journal of Biological Databases and Curation	DATABASE-OXFORD	2.7
DDS-Die Deutsche Schule	DDS-DEUT SCH	0.5
De Computis-Revista Espanola de Historia de la Contabilidad	COMPUTIS	0.3
De Jure Law Journal	DE JURE LAW J	0.4
De Medio Aevo	MEDIO AEVO	0.2
Dead Sea Discoveries	DEAD SEA DISCOV	0.3
Deafness & Education International	DEAF EDUC INT	1.2
Dearq	DEARQ	0.2
DEATH STUDIES	DEATH STUD	2.1
Debate Universitario	DEBATE UNIV	0.2
Debates	DEBATES	0.1
Debates en Sociologia	DEBATES SOCIOL	0.2
Debats-Revista de Cultura Poder i Societat	DEBATS	0.4
Decision	DECISION-INDIA	1.3
Decision Analysis	DECIS ANAL	1.4
Decision Science Letters	DECISION SCI LETT	0.8
DECISION SCIENCES	DECISION SCI	3.1
Decision Sciences-Journal of Innovative Education	DECIS SCI-J INNOV ED	1.4
DECISION SUPPORT SYSTEMS	DECIS SUPPORT SYST	7.5
Decision-Washington	DECISION-WASHINGTON	1.6
Decisions in Economics and Finance	DECIS ECON FINANC	0.8
Deep Underground Science and Engineering	DEEP UNDERGR SCI ENG	5.3
DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS	DEEP-SEA RES PT I	2.4
DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY	DEEP-SEA RES PT II	3.3
DEFENCE AND PEACE ECONOMICS	DEFENCE PEACE ECON	1.7
Defence and Security Analysis	DEF SECUR ANAL	1.7
DEFENCE SCIENCE JOURNAL	DEFENCE SCI J	0.8
Defence Technology	DEF TECHNOL	6.4
Degenerative Neurological and Neuromuscular Disease	DEGENER NEUROL NEURO	9.9
Deleuze and Guattari Studies	DELEUZE GUATTARI STU	0.5
DEMENTIA AND GERIATRIC COGNITIVE DISORDERS	DEMENT GERIATR COGN	2.5
Dementia and Geriatric Cognitive Disorders Extra	DEMENT GER COGN D EX	1.5
Dementia-International Journal of Social Research and Practice	DEMENTIA-LONDON	2.5
Democracy & Security	DEMOCR SECUR	1.4
Democratic Theory-An Interdisciplinary Journal	DEMOCR THEORY	1.5
Democratization	DEMOCRATIZATION	3.2
Demografie	DEMOGRAFIE	0.4
Demographic Research	DEMOGR RES	2.3
DEMOGRAPHY	DEMOGRAPHY	3.5
Demonstratio Mathematica	DEMONSTR MATH	1.6
DEN Open	DEN OPEN	1.5
Dendrobiology	DENDROBIOLOGY	1.8
DENDROCHRONOLOGIA	DENDROCHRONOLOGIA	3.2
Dental and Medical Problems	DENT MED PROBL	4.3
Dental Cadmos	DENT CADMOS	0.2
Dental Hypotheses	DENT HYPOTHESES	1.6
DENTAL MATERIALS	DENT MATER	6.3
DENTAL MATERIALS JOURNAL	DENT MATER J	1.8
DENTAL TRAUMATOLOGY	DENT TRAUMATOL	4.8
Dentistry Journal	DENT J-BASEL	3.4
DENTOMAXILLOFACIAL RADIOLOGY	DENTOMAXILLOFAC RAD	4
Denver Law Review	DENVER LAW REV	0.5
Departures in Critical Qualitative Research	DEPART CRIT QUAL RES	0.6
Dependence Modeling	DEPEND MODEL	1.2
Depositional Record	DEPOS REC	2.6
DEPRESSION AND ANXIETY	DEPRESS ANXIETY	2.7
Derecho Penal y Criminologia	DERECHO PENAL CRIMIN	0.2
Derecho PUCP	DERECHO PUCP	0.4
Derecho y Ciencias Sociales	DERECHO CIENC SOC	0.1
Derechos y Libertades	DERECHOS LIBERTAD	0.5
Dermatitis	DERMATITIS	3.4
DERMATOLOGIC CLINICS	DERMATOL CLIN	3.4
DERMATOLOGIC SURGERY	DERMATOL SURG	2.3
Dermatologic Therapy	DERMATOL THER	1
Dermatologica Sinica	DERMATOL SIN	2.7
Dermatologie	DERMATOLOGIE	0.6
Dermatologie in Beruf und Umwelt	DERMATOL BERUF UMW	1
DERMATOLOGY	DERMATOLOGY	3.6
Dermatology and Therapy	DERMATOLOGY THER	4.6
Dermatology Practical & Conceptual	DERMATOL PRACT CONCE	2.4
Dermatology Reports	DERMATOL REP	1
Dermatology Research and Practice	DERMAT RES PRACT	2
Dermatopathology	DERMATOPATHOL-BASEL	1.8
Derrida Today	DERRIDA TODAY	0.2
Desafios	DESAFIOS	0.9
DESALINATION	DESALINATION	9.9
Desalination and Water Treatment	DESALIN WATER TREAT	3.4
Desenvolvimento e Meio Ambiente	DESENVOLV MEIO AMBIE	0.3
DESIDOC Journal of Library & Information Technology	DESIDOC J LIB INF TE	0.9
Design and Culture	DES CULT	0.7
DESIGN AUTOMATION FOR EMBEDDED SYSTEMS	DES AUTOM EMBED SYST	0.8
DESIGN ISSUES	DES ISSUES	0.7
Design Journal	DES J	1.7
Design Science	DES SCI	2.8
Design Studies	DESIGN STUD	4.6
DESIGNED MONOMERS AND POLYMERS	DES MONOMERS POLYM	2.4
deSignis	DESIGNIS	0.1
DESIGNS CODES AND CRYPTOGRAPHY	DESIGN CODE CRYPTOGR	1.2
Detritus	DETRITUS	0.8
Deturope-The Central European journal of Regional Development and Tourism	DETUROPE	0.9
Deutsch als Fremdsprache-Zeitschrift zur Theorie und Praxis des Faches Deutsch als Fremdsprache	DEUT FREMDSPRACHE	0.6
DEUTSCHE ENTOMOLOGISCHE ZEITSCHRIFT	DEUT ENTOMOL Z	1.4
DEUTSCHE MEDIZINISCHE WOCHENSCHRIFT	DEUT MED WOCHENSCHR	0.7
DEUTSCHE SPRACHE	DEUT SPRACHE	0.2
DEUTSCHE VIERTELJAHRSSCHRIFT FUR LITERATURWISSENSCHAFT UND GEISTESGESCHICHTE	DEUT VIER LIT GEIST	0.1
DEUTSCHE ZEITSCHRIFT FUR PHILOSOPHIE	DEUT Z PHILOS	0.2
Deutsches Arzteblatt International	DTSCH ARZTEBL INT	8.7
DEVELOPING ECONOMIES	DEV ECON	1.3
Developing World Bioethics	DEV WORLD BIOETH	1.3
DEVELOPMENT	DEVELOPMENT	4
DEVELOPMENT AND CHANGE	DEV CHANGE	3.3
DEVELOPMENT AND PSYCHOPATHOLOGY	DEV PSYCHOPATHOL	3.5
DEVELOPMENT GENES AND EVOLUTION	DEV GENES EVOL	1.5
DEVELOPMENT GROWTH & DIFFERENTIATION	DEV GROWTH DIFFER	1.5
Development in Practice	DEV PRACT	1.8
Development Policy Review	DEV POLICY REV	2.1
Development Southern Africa	DEV SO AFR	1.5
DEVELOPMENTAL AND COMPARATIVE IMMUNOLOGY	DEV COMP IMMUNOL	2.4
DEVELOPMENTAL BIOLOGY	DEV BIOL	2.1
DEVELOPMENTAL CELL	DEV CELL	9.2
Developmental Cognitive Neuroscience	DEV COGN NEUROS-NETH	4.6
DEVELOPMENTAL DYNAMICS	DEV DYNAM	1.5
DEVELOPMENTAL MEDICINE AND CHILD NEUROLOGY	DEV MED CHILD NEUROL	3.7
Developmental Neurobiology	DEV NEUROBIOL	2
DEVELOPMENTAL NEUROPSYCHOLOGY	DEV NEUROPSYCHOL	1.6
Developmental Neurorehabilitation	DEV NEUROREHABIL	1.3
DEVELOPMENTAL NEUROSCIENCE	DEV NEUROSCI-BASEL	2.1
DEVELOPMENTAL PSYCHOBIOLOGY	DEV PSYCHOBIOL	1.9
DEVELOPMENTAL PSYCHOLOGY	DEV PSYCHOL	2.7
DEVELOPMENTAL REVIEW	DEV REV	6
DEVELOPMENTAL SCIENCE	DEVELOPMENTAL SCI	3.2
Developments in the Built Environment	DEV BUILT ENVIRON	8.7
Developpement Durable & Territoires	DEV DURABLE TERRIT	0.2
Deviance et Societe	DEVIANCE SOC	0.3
DEVIANT BEHAVIOR	DEVIANT BEHAV	1.7
Device	DEVICE	8.7
Devices and Methods of Measurements	DEVICES METHODS MEAS	0.2
DIABETES	DIABETES	9.3
Diabetes & Metabolic Syndrome-Clinical Research & Reviews	DIAB MET SYND CLIN R	4.4
DIABETES & METABOLISM	DIABETES METAB	5.8
Diabetes & Metabolism Journal	DIABETES METAB J	8.2
Diabetes & Vascular Disease Research	DIABETES VASC DIS RE	3.1
DIABETES CARE	DIABETES CARE	22.6
Diabetes Epidemiology and Management	DIABET EPIDEMIOL MAN	2.2
Diabetes Mellitus	DIABETES MELLIT	0.7
Diabetes Metabolic Syndrome and Obesity	DIABET METAB SYND OB	3.5
DIABETES OBESITY & METABOLISM	DIABETES OBES METAB	6.1
DIABETES RESEARCH AND CLINICAL PRACTICE	DIABETES RES CLIN PR	4.6
Diabetes Stoffwechsel und Herz	DIABETES STOFFWECH H	0.5
Diabetes Technology & Therapeutics	DIABETES TECHNOL THE	7.4
Diabetes Therapy	DIABETES THER	4.2
DIABETES-METABOLISM RESEARCH AND REVIEWS	DIABETES-METAB RES	8.3
DIABETIC MEDICINE	DIABETIC MED	3.3
DIABETOLOGIA	DIABETOLOGIA	10.4
Diabetologie	DIABETOLOGIE	0.1
Diabetologie und Stoffwechsel	DIABETOL STOFFWECHS	0.7
Diabetology	DIABETOLOGY	2.7
Diabetology & Metabolic Syndrome	DIABETOL METAB SYNDR	4.9
Diabetology International	DIABETOL INT	1.1
Diachronica	DIACHRONICA	1.3
DIACRITICS-A REVIEW OF CONTEMPORARY CRITICISM	DIACRITICS	0.2
Diagnosis	DIAGNOSIS	1.9
Diagnostic and Interventional Imaging	DIAGN INTERV IMAG	11.1
Diagnostic and Interventional Radiology	DIAGN INTERV RADIOL	2.7
Diagnostic and Prognostic Research	DIAGN PROGN RES	3.9
DIAGNOSTIC CYTOPATHOLOGY	DIAGN CYTOPATHOL	0.9
DIAGNOSTIC MICROBIOLOGY AND INFECTIOUS DISEASE	DIAGN MICR INFEC DIS	1.8
Diagnostic Pathology	DIAGN PATHOL	3.5
DIAGNOSTICA	DIAGNOSTICA	0.8
Diagnostics	DIAGNOSTICS	3.8
DIALECTICAL ANTHROPOLOGY	DIALECT ANTHROPOL	1.4
Dialectologia	DIALECTOLOGIA	0.2
Dialectologia et Geolinguistica	DIALECTOL GEOLINGUIS	0.4
Dialog so Vremenem-Dialogue with Time	DIALOG VREM	0.1
Dialog-A Journal of Theology	DIALOG-J THEOLOGY	0.1
Dialogia	DIALOGIA	0.1
Dialogic Pedagogy	DIALOGIC PEDAGOG	0.9
Dialogo das Letras	DIALOGO LET	0.2
DIALOGUE-CANADIAN PHILOSOPHICAL REVIEW	DIALOGUE-CAN PHILOS	0.1
Dialogues in Clinical Neuroscience	DIALOGUES CLIN NEURO	5.1
Dialogues in Human Geography	DIALOGUES HUM GEOGR	10
Dialogues in Philosophy Mental and Neuro Sciences	DIALOGUES PHILOS MEN	0.3
Diametros	DIAMETROS	0.5
DIAMOND AND RELATED MATERIALS	DIAM RELAT MATER	5.2
Diaspora Studies	DIASPORA STUD	0.5
Diasporas-Histoire et Societes	DIASPORAS-HIST SOC	0.5
DIATOM RESEARCH	DIATOM RES	1.4
Dicenda-Cuadernos de Filologia Hispanica	DICENDA	0.7
DICKENS QUARTERLY	DICKENS QUART	0.7
Dickens Studies Annual	DICKENS STUD ANNU	0.5
DICKENSIAN	DICKENSIAN	0.9
Didactica de las Ciencias Experimentales y Sociales	DIDACT CIENC EXP SOC	0.5
Didactica-Lengua y Literatura	DIDACT-LENG LIT	0.1
Dietetics	DIETETICS-BASEL	1.8
Differences-A Journal of Feminist Cultural Studies	DIFFERENCES	0.2
Differential and Integral Equations	DIFFER INTEGRAL EQU	0.9
DIFFERENTIAL EQUATIONS	DIFF EQUAT+	0.9
Differential Equations & Applications	DIFFER EQUAT APPL	0.4
Differential Equations and Dynamical Systems	DIFFER EQUAT DYN SYS	1.2
DIFFERENTIAL GEOMETRY AND ITS APPLICATIONS	DIFFER GEOM APPL	0.7
DIFFERENTIATION	DIFFERENTIATION	4
Digest Journal of Nanomaterials and Biostructures	DIG J NANOMATER BIOS	1.2
Digest of Middle East Studies	DIG MIDDLE EAST STUD	0.6
DIGESTION	DIGESTION	3.4
DIGESTIVE AND LIVER DISEASE	DIGEST LIVER DIS	4.9
DIGESTIVE DISEASES	DIGEST DIS	2.4
DIGESTIVE DISEASES AND SCIENCES	DIGEST DIS SCI	2.8
Digestive Endoscopy	DIGEST ENDOSC	3.6
DIGESTIVE SURGERY	DIGEST SURG	1.2
Digital Business	DIGIT BUS	7.2
Digital Chemical Engineering	DIGIT CHEM ENG	5.4
Digital Communications and Networks	DIGIT COMMUN NETW	6.3
DIGITAL CREATIVITY	DIGIT CREAT	4.3
Digital Discovery	DIGIT DISCOV	7.1
Digital Education Review	DIGIT EDUC REV	2.7
Digital Health	DIGIT HEALTH	3.9
Digital Humanities Quarterly	DIGIT HUMANITIES Q	0.5
Digital Journalism	DIGIT JOURNAL	5.1
Digital Library Perspectives	DIGIT LIBR PERSPECT	2.3
Digital Policy Regulation and Governance	DIGIT POLICY REGUL G	3.5
Digital Scholarship in the Humanities	DIGIT SCHOLARSH HUM	1
DIGITAL SIGNAL PROCESSING	DIGIT SIGNAL PROCESS	3.4
Digital Threats: Research and Practice	DIGIT THREATS	3.1
Digital Transportation and Safety	DIGIT TRANSP SAF	3.3
digitAR-Revista Digital de Arqueologia Arquitectura e Artes-Digital Journal of Archaeology Architecture and Arts	DIGITAR-REV DIGIT AR	0.1
Digithum	DIGITHUM	0.3
Dimensions of Critical Care Nursing	DIMENS CRIT CARE NUR	1.7
Dinbilimleri Akademik Arastirma Dergisi-Journal of Academic Research in Religious Sciences	DINBILIMLERI AKAD AR	0.5
Diplomacy & Statecraft	DIPL STATECRAFT	0.4
DIPLOMATIC HISTORY	DIPLOMATIC HIST	0.7
Diplomatica	DIPLOMATICA	1.2
Dirasat Hispanicas-Revista Tunecina de Estudios Hispanicos	DIRASAT HISP	0.1
Direccion y Organizacion	DIR ORGAN	0.4
Direito e Praxis	DIREITO PRAX	0.2
Diritti Umani e Diritto Internazionale	DIRITTI UMANI DIRITT	0.3
Disabilities	DISABILITIES-BASEL	1.5
DISABILITY & SOCIETY	DISABIL SOC	2.3
Disability and Health Journal	DISABIL HEALTH J	3
DISABILITY AND REHABILITATION	DISABIL REHABIL	2.2
Disability and Rehabilitation-Assistive Technology	DISABIL REHABIL-ASSI	2.1
Disaster Medicine and Public Health Preparedness	DISASTER MED PUBLIC	1.7
Disaster Prevention and Management	DISASTER PREV MANAG	1.5
DISASTERS	DISASTERS	2.3
Discours-Revue de Linguistique Psycholinguistique et Informatique	DISCOURS	0.2
Discourse & Communication	DISCOURSE COMMUN	1.9
DISCOURSE & SOCIETY	DISCOURSE SOC	1.9
Discourse Context & Media	DISCOURSE CONTEXT ME	2.5
DISCOURSE PROCESSES	DISCOURSE PROCESS	1.7
DISCOURSE STUDIES	DISCOURSE STUD	1.9
Discourse-Studies in the Cultural Politics of Education	DISCOURSE-ABINGDON	2.2
Discover Applied Sciences	DISCOV APPL SCI	3.8
Discover Chemical Engineering	DISCOV CHEM ENG	3.6
Discover Computing	DISCOV COMPUT	1.9
Discover Environment	DISCOV ENVIRON	4.7
Discover Food	DISCOV FOOD	3.6
Discover Life	DISCOV LIFE-NETH	1.7
Discover Materials	DISCOV MATER	5.8
Discover Mechanical Engineering	DISCOV MECH ENG	2.9
Discover Mental Health	DISCOV MENT HEALTH	2.2
Discover Nano	DISCOV NANO	6.7
Discover Oncology	DISCOV ONCOL	2.8
Discover Psychology	DISCOV PSYCHOL	1.5
Discover Public Health	DISCOV PUBLIC HEALTH	1.3
Discover Social Science and Health	DISCOV SOC SCI HLTH	1.5
Discover Space	DISCOV SPACE	1.8
Discover Sustainability	DISCOV SUSTAIN	5.2
Discovery Medicine	DISCOV MED	3.2
DISCRETE & COMPUTATIONAL GEOMETRY	DISCRETE COMPUT GEOM	0.7
Discrete Analysis	DISCRETE ANAL	0.8
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS	DISCRETE CONT DYN-A	1.1
DISCRETE AND CONTINUOUS DYNAMICAL SYSTEMS-SERIES B	DISCRETE CONT DYN-B	1.4
Discrete and Continuous Dynamical Systems-Series S	DISCRETE CONT DYN-S	1.3
DISCRETE APPLIED MATHEMATICS	DISCRETE APPL MATH	1.1
DISCRETE DYNAMICS IN NATURE AND SOCIETY	DISCRETE DYN NAT SOC	1.4
DISCRETE EVENT DYNAMIC SYSTEMS-THEORY AND APPLICATIONS	DISCRETE EVENT DYN S	1
DISCRETE MATHEMATICS	DISCRETE MATH	1.1
Discrete Mathematics Algorithms and Applications	DISCRET MATH ALGORIT	0.5
Discrete Mathematics and Applications	DISCRET MATH APPL	0.5
DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE	DISCRETE MATH THEOR	0.6
Discrete Mathematics Letters	DISCRETE MATH LETT	0.7
Discrete Optimization	DISCRETE OPTIM	0.8
Discussiones Mathematicae Graph Theory	DISCUSS MATH GRAPH T	0.8
Disease Models & Mechanisms	DIS MODEL MECH	3.6
Diseases	DISEASES-BASEL	3.7
DISEASES OF AQUATIC ORGANISMS	DIS AQUAT ORGAN	1.2
DISEASES OF THE COLON & RECTUM	DIS COLON RECTUM	3.1
DISEASES OF THE ESOPHAGUS	DIS ESOPHAGUS	2.4
Disegnare Idee Immagini-Ideas Images	DISEGNARE IDEE IMMAG	0.1
Disegnarecon	DISEGNARECON	0.5
disP	DISP	0.8
Disparidades-Revista de Antropologia	DISPARIDADES	0.1
DISPLAYS	DISPLAYS	3.9
Disputatio-Philosophical Research Bulletin	DISPUTATIO-SPAIN	0.2
DISSENT	DISSENT	0.6
Dissertationes Mathematicae	DISS MATH	1.1
DISSOLUTION TECHNOLOGIES	DISSOLUT TECHNOL	0.9
Distance Education	DISTANCE EDUC	2.2
Distinktion-Journal of Social Theory	DISTINKTION	1.6
DISTRIBUTED AND PARALLEL DATABASES	DISTRIB PARALLEL DAT	1.1
DISTRIBUTED COMPUTING	DISTRIB COMPUT	1.5
Distributed Ledger Technologies: Research and Practice	DISTRIB LEDGE TECH R	2.2
Diversitas-Perspectivas en Psicologia	DIVERSITAS-PERSP PSI	0.2
DIVERSITY AND DISTRIBUTIONS	DIVERS DISTRIB	4.2
Diversity-Basel	DIVERSITY-BASEL	2.3
Diving and Hyperbaric Medicine	DIVING HYPERB MED	1.3
Dix-Neuf	DIX-NEUF	0.1
Dixi	DIXI	0.3
Dixit	DIXIT	0.2
DM DISEASE-A-MONTH	DM-DIS MON	5.7
DNA AND CELL BIOLOGY	DNA CELL BIOL	2.6
DNA REPAIR	DNA REPAIR	3.2
DNA RESEARCH	DNA RES	2.8
Documenta et Instrumenta	DOC INSTRUM	0.3
Documenta Mathematica	DOC MATH	0.8
DOCUMENTA OPHTHALMOLOGICA	DOC OPHTHALMOL	2
Documentacion de las Ciencias de la Informacion	DOC CIENC INF	0.2
Documentation et Bibliotheques	DOC BIBL	0.2
Documenti e Studi sulla Tradizione Filosofica Medievale	DOC STUD TRADIZ FILO	0.4
Documenti Geografici	DOC GEOGR	0.1
Documents d Analisi Geografica	DOC ANAL GEOGR	0.5
Doklady Biochemistry and Biophysics	DOKL BIOCHEM BIOPHYS	0.8
DOKLADY CHEMISTRY	DOKL CHEM	0.6
DOKLADY EARTH SCIENCES	DOKL EARTH SCI	0.8
DOKLADY MATHEMATICS	DOKL MATH	0.8
DOKLADY NATSIONALNOI AKADEMII NAUK BELARUSI	DOKL NAN BELARUSI	0.1
DOKLADY PHYSICAL CHEMISTRY	DOKL PHYS CHEM	1.1
DOKLADY PHYSICS	DOKL PHYS	0.3
Dolomites Research Notes on Approximation	DOLOMIT RES NOTES AP	1.2
DOMESTIC ANIMAL ENDOCRINOLOGY	DOMEST ANIM ENDOCRIN	1.7
Dose-Response	DOSE-RESPONSE	2.8
Doxa Comunicacion	DOXA COMUN	0.7
Doxa-Cuadernos de Filosofia y Derecho	DOXA	0.4
Drama Therapy Review	DRAMA THER REV	0.5
DREAMING	DREAMING	0.5
Dress-The Journal of the Costume Society of America	DRESS	0.2
Drevnyaya Rus-Voprosy Medievistiki	DREVNYAYA RUS	0.1
Drewno	DREWNO	0.7
Droit et Cultures	DROIT CULT	0.1
Drone Systems and Applications	DRONE SYST APPL	3.7
Drones	DRONES-BASEL	5.2
Droplet	DROPLET	9.1
DRUG AND ALCOHOL DEPENDENCE	DRUG ALCOHOL DEPEN	3.5
Drug and Alcohol Dependence Reports	DRUG ALC DEPEND REP	3.5
DRUG AND ALCOHOL REVIEW	DRUG ALCOHOL REV	2.9
DRUG AND CHEMICAL TOXICOLOGY	DRUG CHEM TOXICOL	2.2
DRUG DELIVERY	DRUG DELIV	8
Drug Delivery and Translational Research	DRUG DELIV TRANSL RE	6.9
Drug Design Development and Therapy	DRUG DES DEV THER	6.1
DRUG DEVELOPMENT AND INDUSTRIAL PHARMACY	DRUG DEV IND PHARM	2.6
DRUG DEVELOPMENT RESEARCH	DRUG DEVELOP RES	4.2
Drug Discoveries and Therapeutics	DRUG DISCOV THER	1.3
DRUG DISCOVERY TODAY	DRUG DISCOV TODAY	8.7
Drug Healthcare and Patient Safety	DRUG HEALTHC PATIENT	4.3
DRUG METABOLISM AND DISPOSITION	DRUG METAB DISPOS	3.6
Drug Metabolism and Pharmacokinetics	DRUG METAB PHARMACOK	2.2
DRUG METABOLISM REVIEWS	DRUG METAB REV	4.7
Drug Research	DRUG RES	2.4
DRUG RESISTANCE UPDATES	DRUG RESIST UPDATE	22
DRUG SAFETY	DRUG SAFETY	5.9
Drug Target Insights	DRUG TARGET INSIGHT	3.7
Drug Testing and Analysis	DRUG TEST ANAL	2.6
DRUGS	DRUGS	14.7
DRUGS & AGING	DRUG AGING	4.2
DRUGS & THERAPY PERSPECTIVES	DRUGS THER PERSPECT	0.6
Drugs Habits and Social Policy	DRUG HABIT SOC POLIC	1.3
Drugs in Context	DRUGS CONTEXT	2.2
DRUGS IN R&D	DRUGS R&D	2.5
DRUGS-EDUCATION PREVENTION AND POLICY	DRUG-EDUC PREV POLIC	2.4
Drugs-Real World Outcomes	DRUGS-REAL WOR OUTC	2
DRUSTVENA ISTRAZIVANJA	DRUS ISTRAZ	0.3
Drvna Industrija	DRVNA IND	0.9
DRYING TECHNOLOGY	DRY TECHNOL	3.2
Du Bois Review-Social Science Research on Race	DU BOIS REV	1.2
Duazary	DUAZARY	0.1
Dubai Medical Journal	DUBAI MED J	0.9
DUKE LAW JOURNAL	DUKE LAW J	2.1
DUKE MATHEMATICAL JOURNAL	DUKE MATH J	3.2
Dusunen Adam-Journal of Psychiatry and Neurological Sciences	DUSUNEN ADAM	0.5
Dutch Journal of Applied Linguistics	DUTCH J APPL LINGUIS	1.2
Duzce Medical Journal	DUZCE MED J	0.5
DYES AND PIGMENTS	DYES PIGMENTS	3.9
Dyna	DYNA-BILBAO	0.6
Dynamic Games and Applications	DYN GAMES APPL	1.3
DYNAMICAL SYSTEMS-AN INTERNATIONAL JOURNAL	DYNAM SYST	0.7
Dynamics	DYNAMICS-BASEL	1.1
Dynamics of Asymmetric Conflict	DYNAM ASYMMETR CONFL	0.8
DYNAMICS OF ATMOSPHERES AND OCEANS	DYNAM ATMOS OCEANS	2
Dynamics of Partial Differential Equations	DYNAM PART DIFFER EQ	1.3
Dynamis	DYNAMIS	0.4
DYSLEXIA	DYSLEXIA	1.6
DYSPHAGIA	DYSPHAGIA	2.3
Dystonia	DYSTONIA	1.6
E & M Ekonomie a Management	E M EKON MANAG	1.5
E&G Quaternary Science Journal	E G QUATERN SCI J	2.1
E-Balonmano com	E-BALONMANO COM	1.2
E-Ciencias de la Informacion	E-CIENC INF	0.1
e-Informatica Software Engineering Journal	E-INFORMATICA	2
